index,meta_score,pu_label,is_calib,pval_unweighted,pval_weighted,weight
2,0.5804880478798866,0,0,0.00036656891495601173,4.511463939787299e-05,0.09829791773317319
8,0.8069789977449522,-1,0,0.00036656891495601173,0.0016067485026552207,3.5063357632724115
9,0.6433372975096864,-1,0,0.00036656891495601173,0.0001325300391283373,0.2887879855845453
10,0.7470555050318932,1,0,0.00036656891495601173,0.0006388844365015955,1.3928588103676014
11,0.8210052460970245,-1,0,0.00036656891495601173,0.009096080758096873,20.0
12,0.6467071469825112,1,0,0.00036656891495601173,0.0003877720615301211,0.845185795916627
13,0.5340426167270008,1,0,0.01063049853372434,0.014738627028439602,0.5879042240605394
14,0.7782427090750774,-1,0,0.00036656891495601173,0.0022633768168312733,4.942517135510097
15,0.7368469944960259,-1,0,0.00036656891495601173,0.001986903034620158,4.337581688028734
16,0.7412748754359174,1,0,0.00036656891495601173,0.00026455517453393703,0.5765518962246716
17,0.7652707072006131,1,0,0.00036656891495601173,0.0009131177265355374,1.9912727535327555
18,0.5451254447286544,1,0,0.0036656891495601175,0.005569332074769488,0.8617029204479365
21,0.8081314893435224,-1,0,0.00036656891495601173,0.0077303317411352235,16.973665918689512
22,0.7625643919811218,-1,0,0.00036656891495601173,0.0006411786491317865,1.3978637287882225
23,0.7567277687591666,1,0,0.00036656891495601173,0.0008520138096803825,1.8579073417785166
24,0.6953913309308468,1,0,0.00036656891495601173,0.0004298027281277704,0.936834990598008
25,0.7396619056372774,1,0,0.00036656891495601173,0.004478178161414795,9.800716297556795
26,0.7616874888467438,-1,0,0.00036656891495601173,0.009096080758096873,20.0
27,0.7194787609675788,-1,0,0.00036656891495601173,0.0005318213768160797,1.1593219345128094
28,0.7707346752283266,1,0,0.00036656891495601173,0.000831772287022944,1.813731790254104
29,0.5933747592300139,1,0,0.00036656891495601173,0.0001314175142723617,0.28636343306760076
30,0.6718026803499126,1,0,0.00036656891495601173,0.0001996461794080043,0.43506580652919874
31,0.5968791704683384,1,0,0.00036656891495601173,0.00040378333187164465,0.8800979673048877
33,0.8000082102371446,-1,0,0.00036656891495601173,0.005930564599921346,12.998299946068235
34,0.7058964818393859,-1,0,0.00036656891495601173,0.0025912324076785226,5.660312638175718
35,0.6803338305164686,-1,0,0.00036656891495601173,0.0012386119330417523,2.7019714127703893
36,0.7597509620432668,-1,0,0.00036656891495601173,0.001208733148403534,2.636713424479907
37,0.6469949796340555,1,0,0.00036656891495601173,0.0005518719277916981,1.2030544355544484
38,0.5715586002526472,1,0,0.00036656891495601173,0.0008097025238945546,1.7655682854551786
39,0.6373408719371305,1,0,0.00036656891495601173,0.0003238725019082296,0.7058655545520269
40,0.7576037849243127,1,0,0.00036656891495601173,0.0004276839540453096,0.9322147523849713
41,0.6985246476316914,1,0,0.00036656891495601173,0.0014677382325266166,3.202533934629226
42,0.7263275501429581,1,0,0.00036656891495601173,0.0005733981740654096,1.2500075467903111
43,0.7485723001832809,1,0,0.00036656891495601173,0.00013513584893806783,0.294466911492809
44,0.6547077880151826,1,0,0.00036656891495601173,0.0011905635878662437,2.5970313576261432
45,0.7582817888615325,1,0,0.00036656891495601173,0.0019207207806906895,4.192822043545647
46,0.707643151955555,1,0,0.00036656891495601173,0.0014964283122185942,3.2652281201994624
47,0.6417858033434833,1,0,0.00036656891495601173,0.00018457030398694765,0.40220663167112886
49,0.7986245161059713,-1,0,0.00036656891495601173,0.0016848242213030361,3.6770044767934547
50,0.759576779711899,-1,0,0.00036656891495601173,0.0016386718512695232,3.576115011778625
51,0.7569156505667134,-1,0,0.00036656891495601173,0.0014169778237944164,3.0916200118301562
52,0.7602426016618171,1,0,0.00036656891495601173,0.0016217912604064354,3.539216229421191
53,0.6438273241220005,1,0,0.00036656891495601173,0.0008513716180636217,1.8565057809460932
54,0.7702734896336603,1,0,0.00036656891495601173,0.0008888082752308094,1.9382129900202447
55,0.69990623997423,1,0,0.00036656891495601173,0.00021065177397334523,0.45905407786286656
56,0.5750800628904172,1,0,0.00036656891495601173,0.0001286236797309403,0.280274785188274
57,0.8214301935457204,1,0,0.00036656891495601173,0.0013190337548694773,2.87763939964396
58,0.6148373376367904,1,0,0.00036656891495601173,0.00066746413057104,1.455208218518657
59,0.5216016115167332,1,0,0.03189149560117302,0.04574039246700846,0.5269645975316457
60,0.621880763960539,1,0,0.00036656891495601173,0.00036762553445990564,0.8012583904274903
63,0.7303232430050209,-1,0,0.00036656891495601173,0.0003436668180601211,0.7490212076933699
64,0.7925879704074552,-1,0,0.00036656891495601173,0.0023509088076453014,5.134110434418269
65,0.7847958349173819,-1,0,0.00036656891495601173,0.0019365533245581253,4.2274506284662
66,0.7411702014599472,-1,0,0.00036656891495601173,0.0015404275688480898,3.361383251604104
67,0.7801058050883329,-1,0,0.00036656891495601173,0.007665480065106,16.830169644981066
68,0.7817433958143917,1,0,0.00036656891495601173,0.002047259106961118,4.469614535275563
69,0.54965834862653,1,0,0.002932551319648094,0.004044275056143682,0.4967131180998707
70,0.776164477274929,1,0,0.00036656891495601173,0.0009844444218909672,2.1469710389166115
71,0.4798069395489149,1,0,0.26832844574780057,0.33474053778987756,0.5299382323257048
72,0.7769015378084625,1,0,0.00036656891495601173,0.0013977058932569755,3.049512874323321
73,0.7719539725890616,1,0,0.00036656891495601173,0.0019509198950541135,4.258873820080201
74,0.6841460274035471,1,0,0.00036656891495601173,0.0003510921024245692,0.7652102853782339
75,0.616436048424589,1,0,0.00036656891495601173,0.0013765551098090818,3.0033025117840717
