column,modality,weight,weight_std,weight_pct
drugban_affinity,DrugBAN,0.19546098211166707,0.02332718828017135,19.546098211166708
unimol_similarity,UniMol_sim,0.1609456700307079,0.07476979277046883,16.09456700307079
vina_score,Vina,0.14628467162883294,0.0774125237584483,14.628467162883293
boltz_confidence,Boltz_confidence,0.11477532812828947,0.03542955006705668,11.477532812828949
graphdta_ic50,GraphDTA_IC50,0.09415127825403255,0.07846817684424594,9.415127825403255
moltrans_affinity,MolTrans,0.07145912768532137,0.021327220579631174,7.145912768532137
tankbind_affinity,TankBind,0.0559790356748879,0.04713860502841722,5.59790356748879
mltle_pKd,MLTLE_pKd,0.05059031269110067,0.02224259019964163,5.059031269110067
boltz_affinity,Boltz_affinity,0.04588091409355048,0.02367574434283758,4.588091409355049
graphdta_kd,GraphDTA_Kd,0.03230815242239247,0.0033199785205453108,3.2308152422392467
graphdta_ki,GraphDTA_Ki,0.03216452727910456,0.0035666480398008553,3.2164527279104553
