fold,method,train_auroc,train_auprc,train_bedroc,test_auroc,test_auprc,test_bedroc,full_auroc,full_auprc,full_bedroc
1,fair,0.9475479177454533,0.3029815019729396,0.5923836842264052,0.9441950762266567,0.08674446906620134,0.4644967186502738,0.9506592065923019,0.37107950575624704,0.6098608235718191
2,fair,0.900774155365243,0.3240621497535561,0.5556373089521353,0.8706533378522302,0.045189179361591086,0.4154219029941327,0.8980111712332484,0.3524760091539711,0.5670341702040005
3,fair,0.9216361042154214,0.27444169048041167,0.5492676659412454,0.9388838517994962,0.10330825354245006,0.536660688046281,0.9286956826117497,0.36441741547342893,0.5910748047637338
4,fair,0.8353762195677721,0.24558006399276894,0.4631161686458579,0.8060630463351071,0.035660056709299844,0.33544158829788884,0.832227576317489,0.2696332118431592,0.4699958439794105
5,fair,0.9472999618066086,0.3004353518470211,0.5910653671273819,0.9522725319629876,0.12066369254649402,0.5935045709419374,0.9520754722917704,0.4062033384883485,0.6399334327500973
