fold,modality,test_ef_0.5,test_hits_0.5,test_ef_1,test_hits_1,test_ef_5,test_hits_5,test_ef_10,test_hits_10,test_ef_20,test_hits_20,test_ef_30,test_hits_30,test_auroc,test_auprc,test_bedroc
1,GraphDTA_IC50,24.427103159497527,9,13.570612866387513,10,6.756756756756757,25,4.1891891891891895,31,2.5675675675675675,38,2.027027027027027,45,0.6702077800343696,0.04543635093257542,0.29642499377527687
1,Vina,5.428245146555006,2,4.071183859916254,3,2.972972972972973,11,2.027027027027027,15,1.6891891891891893,25,1.6666666666666667,37,0.6781357524167337,0.010333966726775713,0.1238879095353191
1,Boltz_affinity,2.714122573277503,1,6.785306433193757,5,6.486486486486487,24,5.27027027027027,39,3.918918918918919,58,2.8828828828828827,64,0.8403183953726743,0.026894167807028364,0.2883270605176118
1,Boltz_confidence,18.99885801294252,7,16.284735439665017,12,11.621621621621621,43,9.594594594594595,71,5.0,74,3.3333333333333335,74,0.9564273493851951,0.06502091448121473,0.4997826016421249
1,TankBind,0.0,0,0.0,0,0.2702702702702703,1,0.13513513513513514,1,0.13513513513513514,2,0.18018018018018017,4,0.30822070484413644,0.0034489649534095233,0.010188724227079362
1,DrugBAN,0.0,0,1.3570612866387515,1,1.3513513513513513,5,1.3513513513513513,10,1.6216216216216217,24,1.3963963963963963,31,0.584854310111606,0.0071715662092900374,0.07984722093041363
1,UniMol_sim,10.856490293110012,4,10.856490293110012,8,12.162162162162161,45,6.216216216216216,46,3.3783783783783785,50,2.5675675675675675,57,0.7666356438208968,0.05354518790252883,0.4563547675359643
2,GraphDTA_IC50,11.005209338221107,4,11.005209338221107,8,6.575342465753424,24,4.109589041095891,30,2.6027397260273974,38,1.9634703196347032,43,0.6169510771485761,0.02617741502360468,0.2897662328448637
2,Vina,0.0,0,2.7513023345552767,2,1.095890410958904,4,1.5068493150684932,11,1.5753424657534247,23,1.461187214611872,32,0.683208436046506,0.00837817823090967,0.08172622898467487
2,Boltz_affinity,0.0,0,1.3756511672776384,1,5.7534246575342465,21,5.205479452054795,38,3.9726027397260273,58,2.922374429223744,64,0.842731769679168,0.02399845781597044,0.2657840870254743
2,Boltz_confidence,0.0,0,9.629558170943469,7,12.054794520547945,44,9.726027397260275,71,5.0,73,3.3333333333333335,73,0.9573688433651877,0.058692829738481486,0.4979015247298776
2,TankBind,0.0,0,0.0,0,0.273972602739726,1,0.136986301369863,1,0.3424657534246575,5,0.228310502283105,5,0.3319931135102462,0.003586692594171518,0.014459258173566133
2,DrugBAN,2.7513023345552767,1,1.3756511672776384,1,1.643835616438356,6,1.2328767123287672,9,1.36986301369863,20,1.3242009132420092,29,0.5418929735982488,0.006534119434571632,0.07531154540420595
2,UniMol_sim,19.259116341886937,7,19.259116341886937,14,11.506849315068493,42,6.027397260273973,44,3.4246575342465753,50,2.557077625570776,56,0.7605023313838348,0.06342562548625183,0.4534269686490644
3,GraphDTA_IC50,27.513023345552767,10,19.259116341886937,14,8.219178082191782,30,4.931506849315069,36,2.671232876712329,39,2.0547945205479454,45,0.711140142770103,0.04799261307552479,0.3445139445448148
3,Vina,0.0,0,0.0,0,1.36986301369863,5,1.5068493150684932,11,1.917808219178082,28,1.7808219178082192,39,0.7080300216964981,0.008695790466284473,0.07526876926725533
3,Boltz_affinity,2.7513023345552767,1,6.878255836388192,5,7.945205479452055,29,6.301369863013699,46,4.2465753424657535,62,3.0136986301369864,66,0.8811491515964355,0.03256515496274781,0.3340282489474717
3,Boltz_confidence,13.756511672776384,5,12.380860505498745,9,10.136986301369863,37,9.726027397260275,71,5.0,73,3.3333333333333335,73,0.9526191738336564,0.055274995954325,0.4625101277663907
3,TankBind,2.7513023345552767,1,1.3756511672776384,1,0.547945205479452,2,0.273972602739726,2,0.2054794520547945,3,0.228310502283105,5,0.29939912190496604,0.004172719241538447,0.02549763937884644
