fold,method,train_auroc,train_auprc,train_bedroc,test_auroc,test_auprc,test_bedroc,full_auroc,full_auprc,full_bedroc
1,fair_bedroc,0.9684317579124103,0.387801985373307,0.6856849144565847,0.9601177026455471,0.08876287966866654,0.5678416077702405,0.970696357510928,0.47038546293191813,0.7133265251865071
2,fair_bedroc,0.9730205108042336,0.41754266868849865,0.7026760897461264,0.9598832038978382,0.07192029992152467,0.5449606786566145,0.9743241372420851,0.4773271956758232,0.7218409730498101
3,fair_bedroc,0.97083838037539,0.3725599794999781,0.6784546778418965,0.9682431629960286,0.11288297942138383,0.6265001764619152,0.9742706487291367,0.4777503987490003,0.7212762087963317
4,fair_bedroc,0.9720369637744355,0.37870062628570006,0.692939420582184,0.9614068832067946,0.10564071389627636,0.5729108576102622,0.9738429372744928,0.47543926021791066,0.7204438113155468
5,fair_bedroc,0.9692475999619776,0.35766328304523154,0.6695553947045588,0.9692985378278975,0.13481161201155634,0.6489596663832904,0.9732054013958928,0.47728258179397337,0.7192509901015569
