smiles,source,generator,graphdta_kd,graphdta_ki,graphdta_ic50,mltle_pKd,vina_score,boltz_affinity,boltz_confidence,drugban_affinity,moltrans_affinity,tankbind_affinity,unimol_similarity
CCn1c(C(=O)N(CCC#N)CCC#N)ccc1C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)c(C)c1,G2,reinvent_transmol,6.555407524,6.918280602,5.246098995,8.324584961,-9.6,-0.83259362,0.920925736,-8.418973118,-6.926805426,-9.749841,0.94198644
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CCC)CC(O)CC1O,initial_370,reference,6.555407524,6.918280602,5.246098995,8.324584007,-9.6,-0.907550335,0.928122997,-8.055901024,-7.291446082,-9.767168,0.96934617
CC(CCCCC(=O)NO)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C,initial_370,reference,6.036088943,6.766582012,5.301582813,8.209414482,-9.6,-1.454338789,0.919110298,-8.037911,-8.16324,-9.439717,0.6984126984126984
CCn1c(C(=O)Oc2ccc(CC(=O)OC)cc2)ccc1C(CC)(CC)c1ccc(OCC(=O)C(C)(C)C)c(C)c1,initial_370,reference,7.445738316,8.90918541,7.469981194,9.329891205,-9.6,-1.090582609,0.926775098,-7.464086717,-6.779694545,-9.751813,0.9238521
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CCC)CC(O)C(C)C1O,G3,transmol-reinvent-gmdldr,7.945358753,7.930434704,7.760439873,9.558196068,-9.655,-2.141065598,0.930724561,-7.559271157,-6.760502491,-9.759294,0.96210843
CCC(CC)(c1ccc(OCC(=O)C(C)(C)C)c(C)c1)c1ccc(C(=O)NCCC(=O)OC)n1C,G2,reinvent_transmol,5.119577885,5.356033802,5.029389858,6.017520905,-9.7,-1.664936543,0.917783082,-8.064026778,-6.965845576,-9.747695,0.9517779
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CC)CC(O)C(CCCO)C1O,initial_370,reference,5.93467474,6.577258587,5.268096447,6.56358242,-9.7,-1.310760021,0.921246052,-8.694416351,-6.502789102,-9.755774,0.9622995
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2ccccc2)CC(O)CC1O,initial_370,reference,5.288603783,6.008653641,4.474777222,4.779417038,-9.7,0.717519879,0.925794065,-8.29129,-7.550138,-8.881723,0.3932584269662921
CCC(CC)(c1ccc(OCC(O)CO)c(C)c1)c1ccc(OCC(O)C(C)(C)C)c(C)c1,initial_370,reference,4.863083839,5.579386711,4.506432056,5.121964455,-9.7,1.084663868,0.907679021,-7.64239649,-6.74916182,-9.762621,0.9638556
C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)C(CC)CCCO)CC1O,initial_370,reference,6.159776211,5.360447407,4.475829124,8.454929352,-9.7,-0.212492332,0.927784562,-7.578127,-7.576328,-9.147403,0.5070422535211268
