fold,modality,test_ef_0.5,test_hits_0.5,test_ef_1,test_hits_1,test_ef_5,test_hits_5,test_ef_10,test_hits_10,test_ef_20,test_hits_20,test_ef_30,test_hits_30,test_auroc,test_auprc,test_bedroc
1,GraphDTA_Kd,2.714122573277503,1,1.3570612866387515,1,0.2702702702702703,1,0.40540540540540543,3,0.8108108108108109,12,0.990990990990991,22,0.5206908409890223,0.005581263211847574,0.030064490898605873
1,GraphDTA_Ki,0.0,0,0.0,0,0.2702702702702703,1,0.2702702702702703,2,0.20270270270270271,3,0.18018018018018017,4,0.1265527299469214,0.0028380142845319685,0.01334190717459366
1,GraphDTA_IC50,18.99885801294252,7,16.284735439665017,12,8.108108108108109,30,4.864864864864865,36,2.5675675675675675,38,1.8918918918918919,42,0.6623179114543839,0.048105436487258596,0.35671974578569565
1,MLTLE_pKd,2.714122573277503,1,2.714122573277503,2,1.0810810810810811,4,2.027027027027027,15,1.7567567567567568,26,1.5765765765765767,35,0.6310337371066259,0.00891867521871539,0.09778878464128875
1,Vina,2.714122573277503,1,4.071183859916254,3,1.8918918918918919,7,2.027027027027027,15,1.7567567567567568,26,1.5765765765765767,35,0.7006265217706076,0.009889010585780834,0.1104946510738722
1,Boltz_affinity,2.714122573277503,1,5.428245146555006,4,7.837837837837838,29,5.27027027027027,39,3.7162162162162162,55,2.972972972972973,66,0.8543520257886534,0.029297074160585114,0.31109174971482284
1,Boltz_confidence,10.856490293110012,4,17.64179672630377,13,12.162162162162161,45,9.594594594594595,71,5.0,74,3.3333333333333335,74,0.9583392076695334,0.07212588609191536,0.5198350065908343
1,TankBind,0.0,0,0.0,0,0.0,0,0.0,0,0.2702702702702703,4,0.3153153153153153,7,0.31141237459086046,0.003426401571510119,0.0026223503274440565
1,DrugBAN,5.428245146555006,2,2.714122573277503,2,1.3513513513513513,5,1.6216216216216217,12,1.554054054054054,23,1.3963963963963963,31,0.5942335610670588,0.008755653600997032,0.08947793284768589
1,MolTrans,0.0,0,1.3570612866387515,1,0.2702702702702703,1,0.40540540540540543,3,0.8108108108108109,12,0.7207207207207207,16,0.3237165686763882,0.0038244653404590195,0.027355497370053616
