fold,method,train_auroc,train_auprc,train_bedroc,test_auroc,test_auprc,test_bedroc,full_auroc,full_auprc,full_bedroc
1,fair_bedroc,0.9626612295815091,0.35757152350494276,0.6548512718299143,0.952523614831524,0.093988339336833,0.5294276131563657,0.9645003425624616,0.4375251300891322,0.6780875081579877
2,fair_bedroc,0.9565980855409789,0.3421020631774472,0.6232642116198412,0.9572462151825277,0.10107511373228711,0.6135289235417967,0.9605710999991348,0.43309810886151334,0.6718112734464433
3,fair_bedroc,0.9524217371468731,0.34226413527022626,0.6353459230644486,0.9391677312144728,0.10018264845961675,0.530800104141896,0.9535283146949465,0.4280234026445974,0.6618990167587173
4,fair_bedroc,0.9575009939323089,0.355563316956696,0.6462023514655058,0.9444108102053684,0.08256594057565494,0.510669596812689,0.958683663428252,0.4309239872182949,0.6661313640387023
5,fair_bedroc,0.9558698941996627,0.3441857123444358,0.632062593749599,0.9579588104486936,0.0949855922976641,0.5714223018397099,0.9601302130651984,0.4327416013578116,0.6689896111608393
