tag,label,UniMol_sim,DrugBAN,Vina,Boltz_confidence,TankBind,Boltz_affinity,MolTrans,GraphDTA_Kd,MLTLE_pKd,GraphDTA_Ki,GraphDTA_IC50
V00,Best config (reference),0.2318953045143126,0.2091402508733026,0.1918331891626067,0.1443413052540516,0.0396388803369146,0.0314692458869089,0.0308669120527315,0.0305324562884598,0.0302394558623234,0.0300429997682238,0.03
V01,Rank normalization,0.2443158651918376,0.0632051891005017,0.03,0.2379119092108024,0.03,0.0330129106376095,0.030083763945794,0.03,0.03,0.03,0.241470361913319
V02,Robust normalization,0.2450684168344887,0.1710045194242118,0.0890457532115796,0.2360190155383906,0.0671387781067357,0.0381941855147494,0.0309932794530608,0.0312617523140786,0.0302277948921751,0.0310068486629128,0.0300396560476897
V03,Default EF objective (no BEDROC),0.2154177372942511,0.2012527856043547,0.095902975888249,0.1831199824943306,0.0334929468325941,0.0605047317779568,0.0407809414992215,0.0377571513931622,0.0517941337463341,0.0421071626168035,0.0378694508524262
V04,Sharp EF objective (no BEDROC),0.1609456700307079,0.195460982111667,0.1462846716288329,0.1147753281282894,0.0559790356748879,0.0458809140935504,0.0714591276853213,0.0323081524223924,0.0505903126911006,0.0321645272791045,0.0941512782540325
V05,BEDROC alpha=160 (top ~0.6%),0.2316496347706389,0.2168059194329769,0.2192035698626448,0.1123022610875187,0.0304253113646019,0.0368109419580988,0.0305671090412149,0.0302171195907812,0.03,0.0320181328917766,0.03
V06,"BEDROC alpha=20 (standard, top ~5%)",0.2323256575895721,0.1494998149481791,0.0916994446902582,0.2288470722643632,0.1034674177116883,0.0402763019596161,0.0315204234087913,0.0305515601129385,0.0312476280643772,0.03,0.0305646792502238
V07,No drug-likeness filter,0.2310572619353304,0.2035217657339584,0.1824089249772083,0.1710098106314553,0.0304268994544792,0.0313382542871773,0.0302370829804384,0.03,0.03,0.03,0.03
V08,Stricter filter (MW<500),0.1899313676879493,0.2126025205510421,0.1358969644234774,0.1822026907398451,0.0504927622106182,0.0303098853979278,0.0395782388593545,0.0300459157723455,0.03,0.0301257946623458,0.0688138596944625
V09,Drop 4 dead modalities (manual),0.2377205659130797,0.2237990540591918,0.2214829035637958,0.2099068384417962,0.0403382116218248,0.0354500724479723,,,,,0.0313023539525583
V10,Auto-prune at 3% threshold,0.2318953045143126,0.2091402508733026,0.1918331891626067,0.1443413052540516,0.0396388803369146,0.0314692458869089,0.0308669120527315,0.0305324562884598,0.0302394558623234,0.0300429997682238,0.03
V12,Strict CV (per-fold normalization),0.2331807809066838,0.1998765429607146,0.1950186706557826,0.149131560964474,0.0391627115326962,0.0305255689945798,0.0323322518342725,0.0305324562884598,0.0302394558623234,0.03,0.03
V13,Multi-seed DE (3 seeds),0.2352533709993942,0.2103081488879938,0.161740984756622,0.179857051275115,0.03,0.0311054712473368,0.0307440525544339,0.03,0.0303675122256337,0.03,0.0306234080533798
V14,Different seed (seed=7),0.2329693293307483,0.2074215817674445,0.175779600653477,0.167104724045722,0.0307556351036753,0.0338660960080888,0.0300224309584762,0.03,0.0312586012794094,0.0306403754175726,0.0301816254354483
