index,is_calib_neg,meta_score
5269,1,0.4709246263096548
5862,1,0.4346238754709518
11283,1,0.4738069422621098
6955,1,0.4094888562042476
12454,1,0.4969415294100507
11914,1,0.5062063748119706
5596,1,0.5007323573617138
4115,1,0.5013231244223928
3619,1,0.4814570535471418
7089,1,0.4381194216731714
15176,1,0.4794543261724419
6445,1,0.4406918108650137
3420,1,0.4851076815340537
12264,1,0.4092605053336895
16126,1,0.4414886127953437
3582,1,0.446279638571802
12873,1,0.4274816922792474
3969,1,0.533109207061777
8301,1,0.4711183070361408
8894,1,0.4903952031956186
8782,1,0.4652926940129638
13161,1,0.4761974940684111
3655,1,0.4454717956151666
1831,1,0.4982594932572257
12280,1,0.3978985579372168
12701,1,0.4864492152509911
12539,1,0.4811407777513098
8137,1,0.484720789895742
7065,1,0.471141919596109
16082,1,0.4493790182372773
4960,1,0.4649984180259666
10203,1,0.5104837819882984
14861,1,0.4791335991509345
7007,1,0.4851405916320379
13712,1,0.445755097980043
8011,1,0.4583941904195563
3793,1,0.4514786488684638
15926,1,0.464398625066783
7543,1,0.4778454519131822
13115,1,0.4896986239513868
15281,1,0.4966396194530303
15847,1,0.4930270083870232
7616,1,0.481044651396213
14145,1,0.4377805524788701
15850,1,0.4505071330113986
3356,1,0.5010682098896923
4752,1,0.4461960321133752
7741,1,0.5070222548982618
12267,1,0.480164697382819
13646,1,0.400063237372791
13292,1,0.4409806234690693
12440,1,0.447450793423629
3507,1,0.4152542324689389
6487,1,0.4732093445998314
4839,1,0.4473891503979383
12493,1,0.4038950163996725
14866,1,0.4601538879641532
13929,1,0.4474525710754008
12379,1,0.4578218072209597
4000,1,0.4313522968740693
7117,1,0.4454596555422025
12243,1,0.4633400367985756
4003,1,0.4749448216475441
15695,1,0.4734176101801092
13336,1,0.4696969967040932
10405,1,0.4165648134704777
14343,1,0.4891915391686301
6057,1,0.4618732717450696
12907,1,0.4296806369654745
13278,1,0.4518196796501041
8091,1,0.5043810708912788
10617,1,0.4904348035298497
3695,1,0.4775129431659517
4223,1,0.4531174588528814
12840,1,0.4488876388454653
6883,1,0.4515918817309285
11508,1,0.4690784245735489
12894,1,0.4400425760938853
15813,1,0.4596521647722585
15123,1,0.4519563684375827
15815,1,0.4347520514842936
7866,1,0.4336137354558565
4047,1,0.4617970275701323
15067,1,0.4335583851853757
3673,1,0.4308900991131998
8898,1,0.4842351953536427
8845,1,0.4273418266582269
4584,1,0.4420788294843145
10410,1,0.4491342300914426
14319,1,0.469595046755008
11663,1,0.4345395753367166
4053,1,0.4937833212106535
7310,1,0.4279657870200991
8691,1,0.4255161436476657
8604,1,0.4278123654891275
6550,1,0.4348636218633586
8613,1,0.4161411817439285
8713,1,0.4680155313312217
11697,1,0.4628696639350486
14487,1,0.502291158116579
12515,1,0.5161420343401384
15985,1,0.4986649866358825
7539,1,0.444894722135179
4409,1,0.4800684063124988
6700,1,0.4659362469259323
12989,1,0.4405274537456354
7183,1,0.4399901469880869
8903,1,0.500000786089135
15789,1,0.4955953090946829
10477,1,0.4455244267963764
3291,1,0.4501330815481915
11893,1,0.4621098636709677
6782,1,0.4359862936559162
3747,1,0.445473598686371
8013,1,0.4645872714362947
6913,1,0.4339387116265258
10323,1,0.4413734958501293
15617,1,0.4633937340085229
