fold,method,test_ef_0.5,test_hits_0.5,test_ef_1,test_hits_1,test_ef_5,test_hits_5,test_ef_10,test_hits_10,test_ef_20,test_hits_20,test_ef_30,test_hits_30
1,unconstrained_bedroc,16.284735439665017,6,9.49942900647126,7,12.702702702702704,47,9.864864864864865,73,5.0,74,3.3333333333333335,74
1,fair_bedroc,16.284735439665017,6,14.927674153026265,11,12.162162162162161,45,9.864864864864865,73,5.0,74,3.3333333333333335,74
1,entropy_bedroc,16.284735439665017,6,13.570612866387513,10,12.702702702702704,47,9.864864864864865,73,5.0,74,3.3333333333333335,74
2,unconstrained_bedroc,11.005209338221107,4,13.756511672776384,10,13.150684931506849,48,8.904109589041095,65,4.931506849315069,72,3.3333333333333335,73
2,fair_bedroc,8.25390700366583,3,12.380860505498745,9,13.150684931506849,48,9.04109589041096,66,4.931506849315069,72,3.3333333333333335,73
2,entropy_bedroc,11.005209338221107,4,9.629558170943469,7,13.424657534246576,49,8.904109589041095,65,4.931506849315069,72,3.3333333333333335,73
3,unconstrained_bedroc,30.264325680108044,11,24.76172101099749,18,14.794520547945206,54,9.863013698630137,72,5.0,73,3.3333333333333335,73
3,fair_bedroc,27.513023345552767,10,24.76172101099749,18,14.794520547945206,54,9.863013698630137,72,5.0,73,3.3333333333333335,73
3,entropy_bedroc,27.513023345552767,10,22.010418676442214,16,14.794520547945206,54,9.863013698630137,72,5.0,73,3.3333333333333335,73
4,unconstrained_bedroc,35.7669303492186,13,24.76172101099749,18,12.602739726027398,46,9.315068493150685,68,5.0,73,3.3333333333333335,73
4,fair_bedroc,27.513023345552767,10,24.76172101099749,18,12.32876712328767,45,9.726027397260275,71,5.0,73,3.3333333333333335,73
4,entropy_bedroc,30.264325680108044,11,24.76172101099749,18,12.32876712328767,45,9.726027397260275,71,5.0,73,3.3333333333333335,73
5,unconstrained_bedroc,33.01562801466332,12,30.264325680108044,22,14.520547945205479,53,9.452054794520548,69,5.0,73,3.3333333333333335,73
5,fair_bedroc,35.7669303492186,13,30.264325680108044,22,14.246575342465754,52,9.452054794520548,69,5.0,73,3.3333333333333335,73
5,entropy_bedroc,33.01562801466332,12,31.639976847385682,23,14.246575342465754,52,9.452054794520548,69,5.0,73,3.3333333333333335,73
