index,meta_score,pu_label,is_calib,pval_unweighted
2,0.5804880478798866,0,0,0.00036656891495601173
8,0.8069789977449522,-1,0,0.00036656891495601173
9,0.6433372975096864,-1,0,0.00036656891495601173
10,0.7470555050318932,1,0,0.00036656891495601173
11,0.8210052460970245,-1,0,0.00036656891495601173
12,0.6467071469825112,1,0,0.00036656891495601173
13,0.5340426167270008,1,0,0.01063049853372434
14,0.7782427090750774,-1,0,0.00036656891495601173
15,0.7368469944960259,-1,0,0.00036656891495601173
16,0.7412748754359174,1,0,0.00036656891495601173
17,0.7652707072006131,1,0,0.00036656891495601173
18,0.5451254447286544,1,0,0.0036656891495601175
21,0.8081314893435224,-1,0,0.00036656891495601173
22,0.7625643919811218,-1,0,0.00036656891495601173
23,0.7567277687591666,1,0,0.00036656891495601173
24,0.6953913309308468,1,0,0.00036656891495601173
25,0.7396619056372774,1,0,0.00036656891495601173
26,0.7616874888467438,-1,0,0.00036656891495601173
27,0.7194787609675788,-1,0,0.00036656891495601173
28,0.7707346752283266,1,0,0.00036656891495601173
29,0.5933747592300139,1,0,0.00036656891495601173
30,0.6718026803499126,1,0,0.00036656891495601173
31,0.5968791704683384,1,0,0.00036656891495601173
33,0.8000082102371446,-1,0,0.00036656891495601173
34,0.7058964818393859,-1,0,0.00036656891495601173
35,0.6803338305164686,-1,0,0.00036656891495601173
36,0.7597509620432668,-1,0,0.00036656891495601173
37,0.6469949796340555,1,0,0.00036656891495601173
38,0.5715586002526472,1,0,0.00036656891495601173
39,0.6373408719371305,1,0,0.00036656891495601173
40,0.7576037849243127,1,0,0.00036656891495601173
41,0.6985246476316914,1,0,0.00036656891495601173
42,0.7263275501429581,1,0,0.00036656891495601173
43,0.7485723001832809,1,0,0.00036656891495601173
44,0.6547077880151826,1,0,0.00036656891495601173
45,0.7582817888615325,1,0,0.00036656891495601173
46,0.707643151955555,1,0,0.00036656891495601173
47,0.6417858033434833,1,0,0.00036656891495601173
49,0.7986245161059713,-1,0,0.00036656891495601173
50,0.759576779711899,-1,0,0.00036656891495601173
51,0.7569156505667134,-1,0,0.00036656891495601173
52,0.7602426016618171,1,0,0.00036656891495601173
53,0.6438273241220005,1,0,0.00036656891495601173
54,0.7702734896336603,1,0,0.00036656891495601173
55,0.69990623997423,1,0,0.00036656891495601173
56,0.5750800628904172,1,0,0.00036656891495601173
57,0.8214301935457204,1,0,0.00036656891495601173
58,0.6148373376367904,1,0,0.00036656891495601173
59,0.5216016115167332,1,0,0.03189149560117302
60,0.621880763960539,1,0,0.00036656891495601173
63,0.7303232430050209,-1,0,0.00036656891495601173
64,0.7925879704074552,-1,0,0.00036656891495601173
65,0.7847958349173819,-1,0,0.00036656891495601173
66,0.7411702014599472,-1,0,0.00036656891495601173
67,0.7801058050883329,-1,0,0.00036656891495601173
68,0.7817433958143917,1,0,0.00036656891495601173
69,0.54965834862653,1,0,0.002932551319648094
70,0.776164477274929,1,0,0.00036656891495601173
71,0.4798069395489149,1,0,0.26832844574780057
72,0.7769015378084625,1,0,0.00036656891495601173
73,0.7719539725890616,1,0,0.00036656891495601173
74,0.6841460274035471,1,0,0.00036656891495601173
75,0.616436048424589,1,0,0.00036656891495601173
79,0.8005603543609631,-1,0,0.00036656891495601173
80,0.6852456986896299,-1,0,0.00036656891495601173
81,0.7528001607605426,-2,0,0.00036656891495601173
82,0.7256957431381263,-1,0,0.00036656891495601173
83,0.7603620764372353,1,0,0.00036656891495601173
84,0.6539995978729004,1,0,0.00036656891495601173
85,0.6637115736670632,1,0,0.00036656891495601173
86,0.7308115722637105,1,0,0.00036656891495601173
87,0.7226775835366663,1,0,0.00036656891495601173
88,0.7737866874674966,1,0,0.00036656891495601173
89,0.5917089224531171,1,0,0.00036656891495601173
90,0.6956621120648889,1,0,0.00036656891495601173
91,0.7109900465967551,1,0,0.00036656891495601173
92,0.8185834282553008,1,0,0.00036656891495601173
93,0.724413728823406,1,0,0.00036656891495601173
94,0.7968760973376672,1,0,0.00036656891495601173
97,0.7279094820096863,-1,0,0.00036656891495601173
98,0.721987737448362,-1,0,0.00036656891495601173
99,0.7642722903209862,-1,0,0.00036656891495601173
100,0.7692722705378422,1,0,0.00036656891495601173
101,0.7924273841840345,1,0,0.00036656891495601173
102,0.7412498537675727,1,0,0.00036656891495601173
103,0.7264220269985266,1,0,0.00036656891495601173
104,0.7551559224161217,1,0,0.00036656891495601173
105,0.6903450838839638,1,0,0.00036656891495601173
106,0.5484827564340697,1,0,0.0032991202346041057
107,0.7025679784439173,1,0,0.00036656891495601173
108,0.7034048199517888,1,0,0.00036656891495601173
109,0.5708095231139663,1,0,0.00036656891495601173
110,0.7863893031801394,1,0,0.00036656891495601173
111,0.5777506881099483,1,0,0.00036656891495601173
112,0.5586322037203217,1,0,0.001466275659824047
116,0.8042553994815971,-1,0,0.00036656891495601173
117,0.7691850505567182,-1,0,0.00036656891495601173
118,0.7795229287690351,-1,0,0.00036656891495601173
119,0.7894962071505538,-1,0,0.00036656891495601173
120,0.7764582260733868,-1,0,0.00036656891495601173
121,0.7246498942980352,-1,0,0.00036656891495601173
122,0.8457699772164076,-1,0,0.00036656891495601173
123,0.8575323315749276,-1,0,0.00036656891495601173
124,0.7512232106952405,-1,0,0.00036656891495601173
125,0.7619632930366971,-1,0,0.00036656891495601173
126,0.784268898753305,-1,0,0.00036656891495601173
127,0.7479158890885181,-1,0,0.00036656891495601173
128,0.7128702193676166,1,0,0.00036656891495601173
129,0.6769135200080241,1,0,0.00036656891495601173
130,0.7029312379298267,1,0,0.00036656891495601173
131,0.716529704474544,1,0,0.00036656891495601173
