column,modality,weight,weight_std,weight_pct
unimol_similarity,UniMol_sim,0.2450684168344887,0.0018958990339116805,24.506841683448876
boltz_confidence,Boltz_confidence,0.23601901553839064,0.010028104239360286,23.601901553839063
drugban_affinity,DrugBAN,0.1710045194242118,0.029075917183996797,17.10045194242118
vina_score,Vina,0.08904575321157966,0.024470978586223813,8.904575321157965
tankbind_affinity,TankBind,0.06713877810673574,0.026538375083092074,6.713877810673575
boltz_affinity,Boltz_affinity,0.03819418551474945,0.005883457047617995,3.819418551474945
graphdta_kd,GraphDTA_Kd,0.03126175231407866,0.0024149685439343103,3.126175231407866
graphdta_ki,GraphDTA_Ki,0.031006848662912874,0.001062236721716016,3.1006848662912874
moltrans_affinity,MolTrans,0.03099327945306085,0.0013615812142051863,3.099327945306085
mltle_pKd,MLTLE_pKd,0.03022779489217519,0.00047065295439403847,3.0227794892175193
graphdta_ic50,GraphDTA_IC50,0.030039656047689732,6.62313619028075e-05,3.0039656047689736
