fold,method,cutoff_pct,train_ef,train_hits,test_ef,test_hits,full_ef,full_hits,top_k
1,fair_bedroc,0.5,27.513023345552767,40,18.99885801294252,7,25.791580081582392,47,71
1,fair_bedroc,1.0,24.07389542735867,70,16.284735439665017,12,22.499037943508043,82,142
1,fair_bedroc,5.0,12.397260273972602,181,10.81081081081081,40,12.076502732240437,221,713
1,fair_bedroc,10.0,9.246575342465754,270,9.594594594594595,71,9.316939890710383,341,1426
1,fair_bedroc,20.0,4.965753424657534,290,5.0,74,4.972677595628415,364,2852
1,fair_bedroc,30.0,3.3219178082191783,291,3.3333333333333335,74,3.324225865209472,365,4278
2,fair_bedroc,0.5,29.475556410133155,43,8.25390700366583,3,25.24282305857,46,71
2,fair_bedroc,1.0,24.677210017785896,72,12.380860505498745,9,22.224659432001847,81,142
2,fair_bedroc,5.0,12.35494880546075,181,12.32876712328767,45,12.349726775956285,226,713
2,fair_bedroc,10.0,9.556313993174061,280,8.767123287671232,64,9.398907103825136,344,1426
2,fair_bedroc,20.0,4.982935153583618,292,4.863013698630137,71,4.959016393442623,363,2852
2,fair_bedroc,30.0,3.3333333333333335,293,3.287671232876712,72,3.324225865209472,365,4278
3,fair_bedroc,0.5,25.362688073835503,37,30.264325680108044,11,26.34033710459478,48,71
3,fair_bedroc,1.0,21.935297793587463,64,24.76172101099749,18,22.499037943508043,82,142
3,fair_bedroc,5.0,11.877133105802049,174,13.424657534246576,49,12.185792349726777,223,713
3,fair_bedroc,10.0,9.249146757679181,271,9.452054794520548,69,9.289617486338798,340,1426
3,fair_bedroc,20.0,4.965870307167235,291,5.0,73,4.972677595628415,364,2852
3,fair_bedroc,30.0,3.321956769055745,292,3.3333333333333335,73,3.324225865209472,365,4278
4,fair_bedroc,0.5,23.30625390568668,34,30.264325680108044,11,24.694066035557608,45,71
4,fair_bedroc,1.0,19.87886362543864,58,24.76172101099749,18,20.85276687447087,76,142
4,fair_bedroc,5.0,12.764505119453926,187,11.232876712328768,41,12.459016393442623,228,713
4,fair_bedroc,10.0,9.215017064846416,270,8.63013698630137,63,9.098360655737705,333,1426
4,fair_bedroc,20.0,4.914675767918089,288,5.0,73,4.9316939890710385,361,2852
4,fair_bedroc,30.0,3.321956769055745,292,3.3333333333333335,73,3.324225865209472,365,4278
5,fair_bedroc,0.5,24.677210017785896,36,33.01562801466332,12,26.34033710459478,48,71
5,fair_bedroc,1.0,19.536124597413835,57,34.39127918194096,25,22.499037943508043,82,142
5,fair_bedroc,5.0,11.535836177474403,169,12.876712328767123,47,11.80327868852459,216,713
5,fair_bedroc,10.0,9.31740614334471,273,9.452054794520548,69,9.344262295081966,342,1426
5,fair_bedroc,20.0,4.965870307167235,291,5.0,73,4.972677595628415,364,2852
5,fair_bedroc,30.0,3.321956769055745,292,3.3333333333333335,73,3.324225865209472,365,4278
