fold,n_total,n_actives_full,n_actives_train,n_actives_test,n_inactives,split_seed
1,11376,366,292,74,11010,42
2,11376,366,293,73,11010,42
3,11376,366,293,73,11010,42
4,11376,366,293,73,11010,42
5,11376,366,293,73,11010,42
