column,modality,weight,weight_std,weight_pct
unimol_similarity,UniMol_sim,0.2154177372942511,0.012781764849710003,21.54177372942511
drugban_affinity,DrugBAN,0.20125278560435475,0.019590657575824438,20.125278560435476
boltz_confidence,Boltz_confidence,0.18311998249433067,0.039241384221556964,18.311998249433067
vina_score,Vina,0.09590297588824907,0.04981482659199204,9.590297588824908
boltz_affinity,Boltz_affinity,0.06050473177795688,0.031019725465661972,6.050473177795688
mltle_pKd,MLTLE_pKd,0.05179413374633417,0.03691261035143117,5.179413374633417
graphdta_ki,GraphDTA_Ki,0.04210716261680351,0.02707243862581688,4.210716261680351
moltrans_affinity,MolTrans,0.0407809414992215,0.015991716148837307,4.0780941499221495
graphdta_ic50,GraphDTA_IC50,0.0378694508524262,0.008370218655007164,3.78694508524262
graphdta_kd,GraphDTA_Kd,0.0377571513931622,0.01190075288941415,3.7757151393162203
tankbind_affinity,TankBind,0.03349294683259413,0.0049564111447163665,3.349294683259413
