fold,modality,test_ef_0.5,test_hits_0.5,test_ef_1,test_hits_1,test_ef_5,test_hits_5,test_ef_10,test_hits_10,test_ef_20,test_hits_20,test_ef_30,test_hits_30,test_auroc,test_auprc,test_bedroc
1,GraphDTA_Kd,5.425337837837838,2,2.712668918918919,2,0.8117712475567838,3,0.8112654710785552,6,1.0813504254799802,16,1.0361865914076833,23,0.5334798671051408,0.012275751474944495,0.054233188298283365
1,GraphDTA_Ki,0.0,0,0.0,0,0.0,0,0.13521091184642586,1,0.06758440159249876,1,0.09010318186153768,2,0.11713346126858795,0.002457558421400572,0.002610732367619405
1,GraphDTA_IC50,24.41402027027027,9,13.563344594594595,10,6.764760396306531,25,3.92111644354635,29,2.568207260514953,38,2.027321591884598,45,0.6637430361233928,0.042532711218599965,0.2897787654697781
1,MLTLE_pKd,10.850675675675676,4,5.425337837837838,4,2.4353137426703513,9,1.892952765849962,14,1.689610039812469,25,1.4416509097846029,32,0.6241417207009949,0.010689939566574271,0.12002241995929035
1,Vina,5.425337837837838,2,4.069003378378379,3,3.247084990227135,12,2.163374589542814,16,1.7571944414049676,26,1.666908864438447,37,0.6969671736171579,0.009857121698404218,0.12983534805164812
1,Boltz_affinity,0.0,0,1.3563344594594595,1,4.32944665363618,16,4.191538267239202,31,3.649557685994933,54,2.7481470467768996,61,0.8103517655910525,0.016140836488106915,0.19787132291760415
1,Boltz_confidence,21.701351351351352,8,16.276013513513515,12,12.447159129204017,46,10.005607476635515,74,5.001245717844908,74,3.333817728876894,74,0.9606911885297872,0.0642655021329126,0.5276681873903465
1,TankBind,0.0,0,0.0,0,0.27059041585226123,1,0.13521091184642586,1,0.13516880318499752,2,0.18020636372307536,4,0.3246396537294254,0.003137983877333709,0.010449914101501987
1,DrugBAN,0.0,0,1.3563344594594595,1,1.3529520792613061,5,1.3521091184642586,10,1.6220256382199703,24,1.2614445460615276,28,0.5759931185486393,0.0062453017017789604,0.07861981846843726
1,MolTrans,0.0,0,0.0,0,0.27059041585226123,1,0.2704218236928517,2,0.6758440159249876,10,0.585670682099995,13,0.2920064418500452,0.0031479859265753085,0.02267664754393602
1,UniMol_sim,13.563344594594595,5,13.563344594594595,10,12.176568713351756,45,6.21970194493559,46,3.4468044812174368,51,2.567940683053824,57,0.7699135168950622,0.05311600634126752,0.4720638652149103
2,GraphDTA_Kd,0.0,0,0.0,0,0.5485942677552693,2,0.6853155805914736,5,0.5480817225035516,8,0.8220372482162205,18,0.4766953618662905,0.004194867698926396,0.029679511787102587
2,GraphDTA_Ki,0.0,0,0.0,0,0.0,0,0.0,0,0.1370204306258879,2,0.18267494404804901,4,0.10662840259199402,0.0024076300496976666,0.002295590371786545
2,GraphDTA_IC50,10.99931506849315,4,12.374229452054795,9,6.583131213063233,24,4.111893483548841,30,2.534877966578926,37,1.9180869125045146,42,0.6111220605701221,0.02319771157976566,0.28421076355306873
2,MLTLE_pKd,8.249486301369863,3,4.124743150684932,3,1.3714856693881734,5,2.33007297401101,17,1.8497758134494866,27,1.5070682883964044,33,0.5984290192274404,0.008460490150510551,0.10511415934580556
