fold,n_total,n_actives_full,n_actives_train,n_actives_test,n_inactives,split_seed
1,16059,366,292,74,15693,42
2,16059,366,293,73,15693,42
3,16059,366,293,73,15693,42
4,16059,366,293,73,15693,42
5,16059,366,293,73,15693,42
