fold,method,train_auroc,train_auprc,train_bedroc,test_auroc,test_auprc,test_bedroc,full_auroc,full_auprc,full_bedroc
1,fair_bedroc,0.9336041088044689,0.3411237302984588,0.5074261025042232,0.9311711965737062,0.08037707698234825,0.24974534918889518,0.9367868034399407,0.4111589663043484,0.5663327853614317
2,fair_bedroc,0.9383803509540162,0.3702227894533985,0.5265579950474351,0.9127099766233991,0.05642210065244839,0.20494384211808753,0.9368400953039445,0.4109519107159404,0.5663367030780906
3,fair_bedroc,0.9552392023030396,0.3328061535506471,0.4785176859086456,0.9588394159808661,0.1091974648259653,0.32488914614821446,0.9598020059765547,0.4328551787927979,0.5681152193719804
4,fair_bedroc,0.9449220994098474,0.33636363357684257,0.48580057347271693,0.9233699383286453,0.08824449656004289,0.30268590084038954,0.9442755885506264,0.4158623046111465,0.5662960130474836
5,fair_bedroc,0.9618288452229304,0.3254224622010017,0.4567945271533155,0.9633090684023864,0.13663377816367386,0.37838132045460027,0.9660153260321512,0.4406867817119803,0.5686320740070111
