fold,n_total,n_actives_full,n_actives_train,n_actives_test,n_inactives,split_seed
1,14902,503,427,76,14399,42
2,14902,503,427,76,14399,42
3,14902,503,427,76,14399,42
4,14902,503,427,76,14399,42
5,14902,503,427,76,14399,42
