fold,modality,test_ef_0.5,test_hits_0.5,test_ef_1,test_hits_1,test_ef_2.5,test_hits_2.5,test_ef_5,test_hits_5,test_ef_10,test_hits_10,test_ef_20,test_hits_20,test_auroc,test_auprc,test_bedroc,test_mean_rank
1,GraphDTA_Kd,18.54800853485064,7,10.527728717767573,8,4.743845500848896,9,2.6319321794418933,10,1.8423525256093254,14,1.2501677852348994,19,0.5744069806243655,0.019468744592639885,0.10845457686876327,6348.3421052631575
1,GraphDTA_Ki,0.0,0,0.0,0,0.0,0,0.5263864358883786,2,0.5263864358883786,4,0.46058813140233135,7,0.19236565209056636,0.003044150518295971,0.0013779862686341975,12012.486842105263
1,GraphDTA_IC50,21.197724039829303,8,18.423525256093253,14,12.65025466893039,24,8.15898975626987,31,4.211091487107029,32,2.434537265983751,37,0.6498549844867125,0.04302700361551078,0.21076152629054107,5229.75
1,MLTLE_pKd,0.0,0,2.6319321794418933,2,1.5812818336162988,3,1.0527728717767573,4,1.97394913458142,15,1.5133610031790887,23,0.637427935987277,0.007902282266028519,0.02585210628640198,5413.993421052632
1,Vina,5.299431009957326,2,3.94789826916284,3,2.108375778155065,4,2.368738961497704,9,1.97394913458142,15,2.0397474390674675,31,0.7146353844952325,0.010747215422116633,0.04522722123905543,4269.315789473684
1,Boltz_affinity,0.0,0,1.3159660897209466,1,5.270939445387663,10,6.053444012716355,23,6.316637230660544,48,4.408486400565171,67,0.8779642093903313,0.027273982053714438,0.062218315543401126,1847.8026315789473
1,Boltz_confidence,7.949146514935989,3,13.159660897209466,10,10.01478494623656,19,10.264535499823383,39,9.60655245496291,73,5.000671140939597,76,0.9531628291692403,0.059870853866129316,0.17200950031125287,732.9078947368421
1,TankBind,2.649715504978663,1,1.3159660897209466,1,1.5812818336162988,3,0.789579653832568,3,0.394789826916284,3,0.5263864358883786,8,0.3598341640219529,0.004661926049263671,0.0265977816444251,9529.598684210527
1,DrugBAN,5.299431009957326,2,3.94789826916284,3,3.1625636672325976,6,2.368738961497704,9,1.579159307665136,12,1.7107559166372306,26,0.5863800790929165,0.009602430363947362,0.05538850492951805,6170.828947368421
1,MolTrans,0.0,0,1.3159660897209466,1,0.5270939445387662,1,0.789579653832568,3,0.5263864358883786,4,0.46058813140233135,7,0.3169840323187572,0.003664362867802935,0.009760633220721968,10164.894736842105
1,UniMol_sim,5.299431009957326,2,3.94789826916284,3,5.270939445387663,10,3.94789826916284,15,2.763528788413988,21,1.8423525256093254,28,0.6673677820613858,0.013640870032960937,0.07371493416680205,4970.105263157895
2,GraphDTA_Kd,21.197724039829303,8,10.527728717767573,8,4.21675155631013,8,2.895125397386083,11,2.1055457435535145,16,1.5133610031790887,23,0.5942787208815239,0.041369777953695695,0.11731989222802001,6053.723684210527
2,GraphDTA_Ki,0.0,0,0.0,0,0.0,0,0.0,0,0.13159660897209466,1,0.394789826916284,6,0.19373149587850647,0.0029344343381107634,1.759390973897331e-05,11992.236842105263
2,GraphDTA_IC50,23.847439544807965,9,15.79159307665136,12,14.231536502546689,27,8.422182974214058,32,5.1322677499116915,39,2.895125397386083,44,0.690673212776985,0.05111067260379759,0.23175677296298058,4624.578947368421
2,MLTLE_pKd,7.949146514935989,3,6.579830448604733,5,2.6354697226938315,5,2.1055457435535145,8,1.97394913458142,15,1.579159307665136,24,0.623147369131043,0.010988742330337536,0.06156838532344526,5625.7171052631575
2,Vina,2.649715504978663,1,2.6319321794418933,2,1.0541878890775325,2,1.579159307665136,6,2.5003355704697987,19,2.237142352525609,34,0.7362084389443864,0.01100648525843624,0.028924193657994722,3949.4736842105262
2,Boltz_affinity,0.0,0,2.6319321794418933,2,5.798033389926429,11,5.790250794772166,22,5.790250794772166,44,4.342688096079124,66,0.8756869155892563,0.026975232034756682,0.06756384268170333,1881.5657894736842
2,Boltz_confidence,15.898293029871978,6,18.423525256093253,14,14.231536502546689,27,12.10688802543271,46,9.34335923701872,71,5.000671140939597,76,0.9580506684558422,0.06838555491270341,0.21861403702161578,660.4407894736842
2,TankBind,0.0,0,0.0,0,0.0,0,0.2631932179441893,1,0.13159660897209466,1,0.197394913458142,3,0.35223460563590275,0.0035888090307522095,0.0010235347674597706,9642.269736842105
2,DrugBAN,5.299431009957326,2,3.94789826916284,3,1.5812818336162988,3,1.3159660897209466,5,1.0527728717767573,8,1.2501677852348994,19,0.5576844909724736,0.015464040546911448,0.04545172680532785,6596.269736842105
2,MolTrans,0.0,0,0.0,0,0.5270939445387662,1,1.0527728717767573,4,1.0527728717767573,8,0.98697456729071,15,0.37168301419270555,0.004397215817020777,0.007493156648697627,9353.927631578947
2,UniMol_sim,2.649715504978663,1,1.3159660897209466,1,2.108375778155065,4,2.6319321794418933,10,2.1055457435535145,16,1.579159307665136,24,0.6624564243469864,0.009702888181555139,0.03467608141610216,5042.921052631579
3,GraphDTA_Kd,18.54800853485064,7,10.527728717767573,8,4.21675155631013,8,2.6319321794418933,10,1.7107559166372306,13,1.2501677852348994,19,0.5811452320603208,0.02003776448396895,0.10612398246610258,6248.440789473684
