fold,method,unimol_weight,unimol_sim_train_mean,unimol_sim_test_mean,unimol_sim_full_mean
1,fair_bedroc,0.04054283375952967,0.9470885759441435,0.9430222004293426,0.924931952945196
2,fair_bedroc,0.035962879380402,0.9465962027664195,0.9459070653649767,0.9252081953519571
3,fair_bedroc,0.0352787710296882,0.9460905049635054,0.9487344931050273,0.9253241550859792
4,fair_bedroc,0.03,0.9466325274394887,0.9457365472513518,0.9253024764922247
5,fair_bedroc,0.03,0.9462054093102302,0.9481027156901624,0.9252011367144788
