cutoff_pct,train_ef,train_hits,test_ef,test_hits,full_ef,full_hits,top_k
1,19.603271484375,50,24.63596590909091,27,21.115829918032787,77,160
5,8.44749454488778,108,9.101677624121514,50,8.644106945750378,158,802
10,4.96371933411215,127,5.3666440101954125,59,5.084816914355753,186,1605
20,3.0085618771410774,154,3.1371450411936244,69,3.047207090380914,223,3211
30,2.3050224141062903,177,2.4245947119104687,80,2.3409594435009886,257,4817
