modality,train_ef_1,test_ef_1,full_ef_1,train_ef_5,test_ef_5,full_ef_5,train_ef_10,test_ef_10,full_ef_10
GraphDTA_IC50,14.898486328125,20.98619318181818,16.728125,6.726708619077307,7.463375651779642,6.948111279179101,4.142946845794392,4.184163126593033,4.155334252591798
DrugBAN,3.1365234375,6.387102272727272,4.113473360655738,1.6425683837281795,2.1844026297891634,1.8054147418339397,1.4461229556074766,2.728802039082413,1.831627598181911
MLTLE_pKd,4.70478515625,6.387102272727272,5.210399590163934,2.346526262468828,2.3664361822715936,2.3525101181472547,2.3450642523364484,2.364961767204758,2.3510443797558858
Vina,2.352392578125,2.7373295454545454,2.4680840163934428,1.8772210099750624,2.0023690773067333,1.9148338170966028,1.7587981892523366,1.910161427357689,1.8042898728359125
GraphDTA_Kd,1.1761962890625,0.9124431818181818,1.0969262295081967,0.7039578787406484,0.5461006574472909,0.6565144515759781,0.8598568925233645,0.5457604078164826,0.7654563096879629
Boltz_affinity,0.784130859375,0.9124431818181818,0.8226946721311476,4.301964814526184,4.732872364543187,4.431472548137852,4.33836886682243,4.638963466440102,4.428711506051785
GraphDTA_Ki,0.0,0.0,0.0,0.07821754208229427,0.36406710496486056,0.16412861289399452,0.11725321261682244,0.18192013593882753,0.13668862672999335
TankBind,0.784130859375,0.0,0.5484631147540984,6.257403366583541,5.461006574472909,6.0180491394464655,6.018998247663552,6.27624468988955,6.096312752157704
MolTrans,0.3920654296875,0.0,0.2742315573770492,0.39108771041147133,0.36406710496486056,0.38296676341932057,0.31267523364485983,0.18192013593882753,0.2733772534599867
