method,train_ef_1,train_hits_1,test_ef_1,test_hits_1,full_ef_1,full_hits_1,train_ef_5,train_hits_5,test_ef_5,test_hits_5,full_ef_5,full_hits_5,train_ef_10,train_hits_10,test_ef_10,test_hits_10,full_ef_10,full_hits_10
Equal Weights,5.8809814453125,15,6.387102272727272,7,6.033094262295082,22,2.5811788887157108,33,3.094570392201315,17,2.7354768815665755,50,1.9933046144859814,51,2.274001699235344,25,2.077667126295899,76
Random (mean of 100),5.359534423828125,13,6.31410681818182,6,5.646427766393441,20,2.8838807765741894,36,3.280244615733394,18,3.003006520583787,54,2.1336176255841126,54,2.3804249787595584,26,2.2077946989428527,80
Best Individual (GraphDTA_IC50),14.898486328125,38,20.98619318181818,23,16.728125,61,6.726708619077307,86,7.463375651779642,41,6.948111279179101,127,4.142946845794392,106,4.184163126593033,46,4.155334252591798,152
DE Unconstrained,21.9556640625,56,28.285738636363636,31,23.858145491803278,87,8.916799797381547,114,9.829811834051236,54,9.191202322063694,168,5.198225759345794,133,5.639524214103654,62,5.330856442469741,195
DE Fair (3-25%),19.603271484375,50,24.63596590909091,27,21.115829918032787,77,8.44749454488778,108,9.101677624121514,50,8.644106945750378,158,4.96371933411215,127,5.3666440101954125,59,5.084816914355753,186
DE Entropy,21.9556640625,56,27.373295454545456,30,23.583913934426228,86,8.838582255299253,113,10.011845386533667,55,9.191202322063694,168,5.041888142523365,129,5.639524214103654,62,5.2215055410857465,191
