source,smiles,meta_score,pval,pval_weighted,pval_unweighted,qval,selected,pu_label
newRef_137,CCC(O)(CC)COc1ccc(C(CC)(CC)c2ccc(OC(CO)CO)c(C)c2)cc1C,0.794881537039562,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
newRef_137,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)(C)CC)CC(O)C(=CCCO)C1O,0.7945462786722535,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
G2,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CCC)CC(O)C(OCCCO)C1O,0.7945038758647848,0.0003703703703703,0.0577030461507886,0.0003703703703703,0.0003703703703703,True,-1
initial_370,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)C(C)C1O,0.7944487991339968,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
initial_370,COC(=O)CCc1ccc(OCc2oc(-c3cccc(OC)c3)nc2C)cc1,0.7944356274909121,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
newRef_137,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)C2=CCOC12,0.7943197503095685,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
G2,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)C(=C)C1O,0.7942929061100518,0.0003703703703703,0.0577030461507886,0.0003703703703703,0.0003703703703703,True,-1
G3,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CCC)CC(O)CC1O,0.7942011825901619,0.0003703703703703,0.0577030461507886,0.0003703703703703,0.0003703703703703,True,-1
newRef_137,C=C1C(=CC=C2CCCC3(C)C2CCC3C2(C)CC(CC(C)(C)O)CO2)CC(O)CC1O,0.794022446887422,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
initial_370,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)[C@H](CCn2ncnn2)[C@@H]1O,0.7939066205179658,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
