index,meta_score,pu_label,source,smiles
52,0.7602426016618171,1,initial_370,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)[N+](=O)[O-])CC[C@@H]23)C[C@@H](O)C[C@@H]1O
53,0.6438273241220005,1,initial_370,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(O)C2(C=CC(=O)OCC)CC2)CC(O)CC1O
54,0.7702734896336603,1,initial_370,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CCC)CC(O)C(OCCCO)C1O
55,0.69990623997423,1,initial_370,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)C)CC(O)CC1O
56,0.5750800628904172,1,initial_370,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2CCc2ccccc2)CC(O)CC1O
57,0.8214301935457204,1,initial_370,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2cc(OCCC)cc(OCCC)c2)CC(O)CC1O
58,0.6148373376367904,1,initial_370,CC1=C(C=CC2=CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)C(CCCO)C1O
59,0.5216016115167332,1,initial_370,CCC(=CC=CC(O)(C(F)(F)F)C(F)(F)F)c1cccc(CCc2ccc(CO)c(CO)c2)c1
60,0.621880763960539,1,initial_370,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)C(CCCC)CCC(=O)c2ccc(O)cc2)CC1O
63,0.7303232430050209,-1,G3,CCC(CC)(c1ccc(OCC(=O)C(C)(C)C)c(C)c1)c1ccc(OCC(=O)C(C)(C)C)c(C)c1
64,0.7925879704074552,-1,G3,CCn1c(C(=O)NCCO)ccc1C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)c(C)c1
65,0.7847958349173819,-1,G3,CCn1c(C(=O)NCCCO)ccc1C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)c(C)c1
66,0.7411702014599472,-1,G2,CCn1c(C(=O)NCCN(C)C)ccc1C(CC)(CC)c1ccc(OCCC(O)(CC)CC)c(C)c1
67,0.7801058050883329,-1,G2,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCCCC)CC(O)CC1O
68,0.7817433958143917,1,initial_370,C=C1/C(=C\C=C(/CC)c2cccc(CCC#CCC(C)(C)O)c2)C[C@@H](O)C[C@@H]1O
69,0.54965834862653,1,initial_370,C=C1C(=CC=C2CCCC3(C)C(C(C)CCC(F)(F)C(O)(CC)CC)=CCC23)CC(O)CC1C(F)F
70,0.776164477274929,1,initial_370,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CC(C)C)CC(O)C(C)C1O
71,0.4798069395489149,1,initial_370,CCC(CC)(c1ccc(O)c(C)c1)c1ccc(NCC(=O)C(C)(C)C)c(C)c1
72,0.7769015378084625,1,initial_370,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2cc(OCC)cc(OCC)c2)CC(O)CC1O
73,0.7719539725890616,1,initial_370,CC(CCCCNS(C)(=O)=O)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C
74,0.6841460274035471,1,initial_370,CC(CCCC(=O)Nc1ccccc1N)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C
