fold,method,train_auroc,train_auprc,train_bedroc,test_auroc,test_auprc,test_bedroc,full_auroc,full_auprc,full_bedroc
1,fair_bedroc,0.9336041088044689,0.3411237302984588,0.6199777430757134,0.9311711965737062,0.08037707698234825,0.4980931224412391,0.9367868034399407,0.4111589663043484,0.6412054958183317
2,fair_bedroc,0.9383803509540162,0.3702227894533985,0.6254805923019972,0.9127099766233991,0.05642210065244839,0.4725280988116341,0.9368400953039445,0.4109519107159404,0.6394947939721343
3,fair_bedroc,0.9552392023030396,0.3328061535506471,0.6256090607809253,0.9588394159808661,0.1091974648259653,0.5941975587238366,0.9598020059765547,0.4328551787927979,0.6690936270316188
4,fair_bedroc,0.9449220994098474,0.33636363357684257,0.6246411549034941,0.9233699383286453,0.08824449656004289,0.4967802998353145,0.9442755885506264,0.4158623046111465,0.6446686627641209
5,fair_bedroc,0.9618288452229304,0.3254224622010017,0.6323841443791196,0.9633090684023864,0.13663377816367386,0.6219621793833608,0.9660153260321512,0.4406867817119803,0.6815096598967411
