,"GraphDTA
$K_d$","GraphDTA
$K_i$","GraphDTA
$IC_{50}$","MLT-LE
$pKd$","Vina
Score","Boltz-2
Affinity","UniMol
Similarity","TANKBind
Affinity","DrugBAN
Affinity","MolTrans
Affinity"
"GraphDTA
$K_d$",1.0,0.712998814634173,0.7718412869602453,0.7583550600142858,0.7175362756676221,0.6771174091127666,0.7496214434769843,0.7323182812622145,0.553679002244664,0.5420038633502753
"GraphDTA
$K_i$",0.712998814634173,1.0,0.7493868413518573,0.6499812319103122,0.6508034004397139,0.6442404829163281,0.6082105521322467,0.6932840579548876,0.5774071780122053,0.5574777501909554
"GraphDTA
$IC_{50}$",0.7718412869602453,0.7493868413518573,1.0,0.6893883596953473,0.7035501961528456,0.7002459471241891,0.681660815271951,0.7410910318162688,0.5886580421617393,0.5343138865342505
"MLT-LE
$pKd$",0.7583550600142858,0.6499812319103122,0.6893883596953473,1.0,0.6937010893866565,0.6241667675072861,0.7284034904495186,0.6506136222127648,0.5477625135105139,0.5454517349326014
"Vina
Score",0.7175362756676221,0.6508034004397139,0.7035501961528456,0.6937010893866565,1.0,0.6350184234326022,0.6654425524560792,0.6977440860488022,0.587522591258461,0.5491195518222384
"Boltz-2
Affinity",0.6771174091127666,0.6442404829163281,0.7002459471241891,0.6241667675072861,0.6350184234326022,1.0,0.6031077062970304,0.7097114940237885,0.6087057956784406,0.5075807688935067
"UniMol
Similarity",0.7496214434769843,0.6082105521322467,0.681660815271951,0.7284034904495186,0.6654425524560792,0.6031077062970304,1.0,0.6493466133026217,0.48924347019478837,0.5159319805794591
"TANKBind
Affinity",0.7323182812622145,0.6932840579548876,0.7410910318162688,0.6506136222127648,0.6977440860488022,0.7097114940237885,0.6493466133026217,1.0,0.5905203545942088,0.5215057884850824
"DrugBAN
Affinity",0.553679002244664,0.5774071780122053,0.5886580421617393,0.5477625135105139,0.587522591258461,0.6087057956784406,0.48924347019478837,0.5905203545942088,1.0,0.5700104499304718
"MolTrans
Affinity",0.5420038633502753,0.5574777501909554,0.5343138865342505,0.5454517349326014,0.5491195518222384,0.5075807688935067,0.5159319805794591,0.5215057884850824,0.5700104499304718,1.0
