,"GraphDTA
$K_d$","GraphDTA
$K_i$","GraphDTA
$IC_{50}$","MLT-LE
$pKd$","TANKBind
Affinity","DrugBAN
Affinity","MolTrans
Affinity","Vina
Score","Boltz-2
Affinity","Boltz-2
Confidence","UniMol
Similarity"
"GraphDTA
$K_d$",1.0,0.7124586355914977,0.7721412927084934,0.7682612057234708,0.7284219768423907,0.5540517143294711,0.542802280661423,0.7410480191577403,0.6811325520023238,0.5634464919817797,0.7514784474437527
"GraphDTA
$K_i$",0.7124586355914977,1.0,0.748344666771724,0.6559014349132761,0.6943003184308291,0.5760984486801738,0.5593909609346287,0.6730399748565861,0.6376492513027375,0.5926491143634484,0.6083097778668606
"GraphDTA
$IC_{50}$",0.7721412927084934,0.748344666771724,1.0,0.698735281751525,0.742049171507182,0.5901789947908095,0.5348467698294205,0.7269550499303266,0.7051980418395892,0.554360690693584,0.6834060384730727
"MLT-LE
$pKd$",0.7682612057234708,0.6559014349132761,0.698735281751525,1.0,0.6591630612211021,0.5508749555308619,0.5439182820464558,0.7034451961998178,0.6395571317769824,0.5183114549810731,0.732619463891337
"TANKBind
Affinity",0.7284219768423907,0.6943003184308291,0.742049171507182,0.6591630612211021,1.0,0.5938434766481034,0.5201584842918707,0.7244265059573387,0.7185601587843508,0.6031203729646208,0.6487096863450428
"DrugBAN
Affinity",0.5540517143294711,0.5760984486801738,0.5901789947908095,0.5508749555308619,0.5938434766481034,1.0,0.5738012294907558,0.5985551397015646,0.6093386347740511,0.5693207212593239,0.491791526969502
"MolTrans
Affinity",0.542802280661423,0.5593909609346287,0.5348467698294205,0.5439182820464558,0.5201584842918707,0.5738012294907558,1.0,0.5502880899526834,0.5091108998731542,0.533124462782825,0.5137964796563755
"Vina
Score",0.7410480191577403,0.6730399748565861,0.7269550499303266,0.7034451961998178,0.7244265059573387,0.5985551397015646,0.5502880899526834,1.0,0.6752686255822558,0.5588235939944103,0.6739501352384911
"Boltz-2
Affinity",0.6811325520023238,0.6376492513027375,0.7051980418395892,0.6395571317769824,0.7185601587843508,0.6093386347740511,0.5091108998731542,0.6752686255822558,1.0,0.5691274158104735,0.6164044911613169
"Boltz-2
Confidence",0.5634464919817797,0.5926491143634484,0.554360690693584,0.5183114549810731,0.6031203729646208,0.5693207212593239,0.533124462782825,0.5588235939944103,0.5691274158104735,1.0,0.5058701505377413
"UniMol
Similarity",0.7514784474437527,0.6083097778668606,0.6834060384730727,0.732619463891337,0.6487096863450428,0.491791526969502,0.5137964796563755,0.6739501352384911,0.6164044911613169,0.5058701505377413,1.0
