source,smiles,meta_score,pval,pval_weighted,pval_unweighted,selected,pu_label
G2,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CCCC)CC(O)C(CCO)C1O,0.8304082049549448,0.000366568914956,0.0074833111926284,0.000366568914956,True,-1
initial_370,C=C1/C(=C\C=C(/CCCCCC)c2cccc(CCCCCC(C)(C)O)c2)C[C@@H](O)C[C@@H]1O,0.8303023737798121,0.000366568914956,0.0011921397076465,0.000366568914956,False,1
G2,CC(CCCNS(N)(=O)=O)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C,0.8297399104461058,0.000366568914956,0.0008397875740401,0.000366568914956,True,-1
G2,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CC)CC(O)C(CCCO)C1O,0.8291520563733603,0.000366568914956,0.0090960807580968,0.000366568914956,True,-1
G2,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)C(O)CC(C)(C)O)CC1O,0.8285433787122878,0.000366568914956,0.002005101588,0.000366568914956,True,-1
G2,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)C(=C)C1O,0.8279687501511201,0.000366568914956,0.0085133491151196,0.000366568914956,True,-1
G2,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCCC(C)(C)O)CC1O,0.8275451042373447,0.000366568914956,0.0055366676565786,0.000366568914956,True,-1
initial_370,CCN(CC)CCCNC(=O)c1ccc(C(CC)(CC)c2ccc(C#CC(O)(CC)CC)c(C)c2)n1CC,0.8269123220251161,0.000366568914956,0.0026653197232263,0.000366568914956,False,1
initial_370,CCC(C)C(NC(=O)c1ccc(C(CC)(CC)c2ccc(OCC(=O)C(C)(C)C)c(C)c2)n1CC)C(=O)O,0.8265727688553548,0.000366568914956,0.0054160645523,0.000366568914956,False,1
G2,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCCO)CC(O)CC1O,0.8246290798229179,0.000366568914956,0.0054452390914708,0.000366568914956,True,-1
initial_370,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(O)(c2ccc(O)cc2)c2ccc(O)cc2)CC1O,0.8245724926952671,0.000366568914956,0.0044269216448977,0.000366568914956,False,1
G2,CCn1c(C(=O)NC(C)CO)ccc1C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)c(C)c1,0.8244822916747401,0.000366568914956,0.0020475973215812,0.000366568914956,True,-1
initial_370,C=C1[C@H](O)CC(=C/C=C2\CCC[C@]3(C)[C@@H]([C@H](C)[C@@H](CCCC)CCC(=O)c4ccc(O)cc4)CC[C@@H]23)C[C@H]1O,0.8241990745900158,0.000366568914956,0.0047614119564337,0.000366568914956,False,1
initial_370,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)OCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,0.8237661874405531,0.000366568914956,0.0090960807580968,0.000366568914956,False,1
initial_370,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2CCc2cc(OC)cc(OC)c2)CC(O)CC1O,0.8234412343098034,0.000366568914956,0.0080297552433247,0.000366568914956,False,1
calcitriol,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,0.8224399577418422,0.000366568914956,0.0090960807580968,0.000366568914956,False,1
initial_370,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2cc(OCCC)cc(OCCC)c2)CC(O)CC1O,0.8214301935457204,0.000366568914956,0.0013190337548694,0.000366568914956,False,1
G3,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)C(C)C1O,0.8210052460970245,0.000366568914956,0.0090960807580968,0.000366568914956,True,-1
initial_370,CCC(CC)(c1ccc(OCCCCC(=O)O)c(C)c1)c1ccc(OC[C@H](O)C(C)(C)C)c(C)c1,0.820842910707655,0.000366568914956,0.00618120326866,0.000366568914956,False,1
G2,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCC(O)C(C)(C)O)CC1O,0.8196308648852066,0.000366568914956,0.0090960807580968,0.000366568914956,True,-1
initial_370,C=C1/C(=C\C=C2/CCC[C@]3(CCCCCCC(C)(C)O)CCC[C@@H]23)C[C@@H](O)C[C@@H]1O,0.8195592911159922,0.000366568914956,0.0053376196665644,0.000366568914956,False,1
G2,CCn1c(C(=O)NCCCN2CCOCC2)ccc1C(CC)(CC)c1ccc(OCCC(O)(CC)CC)c(C)c1,0.8194698459503328,0.000366568914956,0.0008072219864875,0.000366568914956,False,-2
initial_370,CCC(CC)(c1ccc(/C=C/C(O)(C(F)(F)F)C(F)(F)F)c(C)c1)c1ccc(-c2ccc(CC(=O)O)c(F)c2)c(C)c1,0.8190276345180922,0.000366568914956,0.0061003341587498,0.000366568914956,False,1
initial_370,CC(CCCNS(N)(=O)=O)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C,0.8185834282553008,0.000366568914956,0.0020292709845832,0.000366568914956,False,1
initial_370,CCC(CC)(c1ccc(OCC(=O)O)c(C)c1)c1ccc(OC[C@H](O)C(C)(C)C)c(C)c1,0.8181273019603679,0.000366568914956,0.0058358089560984,0.000366568914956,False,1
